Checking_Acct_Bal,Loan_Duration,Credit_History,Loan_Amount,Savings_Acct_Bal,Years_Employed,Install_Rate,Years_of Residency,Applicant_Age,Job_Type,DEFAULT
0,6,4,1169,4,4,4,4,67,2,0
1,48,2,5951,0,2,2,2,22,2,1
3,12,4,2096,0,3,2,3,49,1,0
0,42,2,7882,0,3,2,4,45,2,0
0,24,3,4870,0,2,3,4,53,2,1
3,36,2,9055,4,2,2,4,35,1,0
3,24,2,2835,2,4,3,4,53,2,0
1,36,2,6948,0,2,2,2,35,3,0
3,12,2,3059,3,3,2,4,61,1,0
1,30,4,5234,0,0,4,2,28,3,1
1,12,2,1295,0,1,3,1,25,2,1
0,48,2,4308,0,1,3,4,24,2,1
1,12,2,1567,0,2,1,1,22,2,0
0,24,4,1199,0,4,4,4,60,1,1
0,15,2,1403,0,2,2,4,28,2,0
0,24,2,1282,1,2,4,2,32,1,1
3,24,4,2424,4,4,4,4,53,2,0
0,30,0,8072,4,1,2,3,25,2,0
1,24,2,12579,0,4,4,2,44,3,1
3,24,2,3430,2,4,3,2,31,2,0
3,9,4,2134,0,2,4,4,48,2,0
0,6,2,2647,2,2,2,3,44,2,0
0,10,4,2241,0,1,1,3,48,1,0
1,12,4,1804,1,1,3,4,44,2,0
3,10,4,2069,4,2,2,1,26,2,0
0,6,2,1374,0,2,1,2,36,1,0
3,6,0,426,0,4,4,4,39,1,0
2,12,1,409,3,2,3,3,42,2,0
1,7,2,2415,0,2,3,2,34,2,0
0,60,3,6836,0,4,3,4,63,2,1
1,18,2,1913,3,1,3,3,36,2,0
0,24,2,4020,0,2,2,2,27,2,0
1,18,2,5866,1,2,2,2,30,2,0
3,12,4,1264,4,4,4,4,57,1,0
2,12,2,1474,0,1,4,1,33,3,0
1,45,4,4746,0,1,4,2,25,1,1
3,48,4,6110,0,2,1,3,31,2,0
2,18,2,2100,0,2,4,2,37,2,1
2,10,2,1225,0,2,2,2,37,2,0
1,9,2,458,0,2,4,3,24,2,0
3,30,2,2333,2,4,4,2,30,3,0
1,12,2,1158,2,2,3,1,26,2,0
1,18,3,6204,0,2,2,4,44,1,0
0,30,4,6187,1,3,1,4,24,2,0
0,48,4,6143,0,4,4,4,58,1,1
3,11,4,1393,0,1,4,4,35,3,0
3,36,2,2299,2,4,4,4,39,2,0
0,6,2,1352,2,0,1,2,23,0,0
3,11,4,7228,0,2,1,4,39,1,0
3,12,2,2073,1,2,4,2,28,2,0
1,24,3,2333,4,1,4,2,29,1,0
1,27,3,5965,0,4,1,2,30,3,0
3,12,2,1262,0,2,3,2,25,2,0
3,18,2,3378,4,2,2,1,31,2,0
1,36,3,2225,0,4,4,4,57,2,1
3,6,1,783,4,2,1,2,26,1,0
1,12,2,6468,4,0,2,1,52,3,1
3,36,4,9566,0,2,2,2,31,2,0
2,18,2,1961,0,4,3,2,23,3,0
0,36,4,6229,0,1,4,4,23,1,1
1,9,2,1391,0,2,2,1,27,2,0
1,15,4,1537,4,4,4,4,50,2,0
1,36,0,1953,0,4,4,4,61,3,1
1,48,0,14421,0,2,2,2,25,2,1
3,24,2,3181,0,1,4,4,26,2,0
3,27,2,5190,4,4,4,4,48,2,0
3,12,2,2171,0,1,2,2,29,2,0
1,12,2,1007,3,2,4,1,22,2,0
3,36,2,1819,0,2,4,4,37,2,1
3,36,2,2394,4,2,4,4,25,2,0
3,36,2,8133,0,2,1,2,30,2,0
3,7,4,730,4,4,4,2,46,1,0
0,8,4,1164,0,4,3,4,51,3,0
1,42,4,5954,0,3,2,1,41,1,0
0,36,2,1977,4,4,4,4,40,3,1
0,12,4,1526,0,4,4,4,66,3,0
0,42,2,3965,0,1,4,3,34,2,1
1,11,3,4771,0,3,2,4,51,2,0
3,54,0,9436,4,2,2,2,39,1,0
1,30,2,3832,0,1,2,1,22,2,0
3,24,2,5943,4,1,1,1,44,2,1
3,15,2,1213,2,4,4,3,47,2,0
3,18,2,1568,1,2,3,4,24,1,0
0,24,2,1755,0,4,4,4,58,1,0
0,10,2,2315,0,4,3,4,52,1,0
3,12,4,1412,0,2,4,2,29,3,0
1,18,4,1295,0,1,4,1,27,2,0
1,36,2,12612,1,2,1,4,47,2,1
0,18,2,2249,1,3,4,3,30,3,0
0,12,0,1108,0,3,4,3,28,2,1
3,12,4,618,0,4,4,4,56,2,0
0,12,4,1409,0,4,4,3,54,2,0
3,12,4,797,4,4,4,3,33,1,1
2,24,4,3617,4,4,4,4,20,2,0
1,12,2,1318,3,4,4,4,54,2,0
1,54,0,15945,0,1,3,4,58,2,1
3,12,4,2012,4,3,4,2,61,2,0
1,18,2,2622,1,2,4,4,34,2,0
1,36,4,2337,0,4,4,4,36,2,0
1,20,3,7057,4,3,3,4,36,3,0
3,24,2,1469,1,4,4,4,41,1,0
1,36,2,2323,0,3,4,4,24,2,0
3,6,3,932,0,2,3,2,24,2,0
1,9,4,1919,0,3,4,3,35,2,0
3,12,2,2445,4,1,2,4,26,2,0
1,24,4,11938,0,2,2,3,39,3,1
3,18,1,6458,0,4,2,4,39,3,1
1,12,2,6078,0,3,2,2,32,2,0
0,24,2,7721,4,1,1,2,30,2,0
1,14,2,1410,2,4,1,2,35,2,0
1,6,3,1449,1,4,1,2,31,2,0
2,15,2,392,0,1,4,4,23,2,0
1,18,2,6260,0,3,3,3,28,1,0
3,36,4,7855,0,2,4,2,25,2,1
0,12,2,1680,2,4,3,1,35,2,0
3,48,4,3578,4,4,4,1,47,2,0
0,42,2,7174,4,3,4,3,30,3,1
0,10,4,2132,4,1,2,3,27,2,0
0,33,4,4281,2,2,1,4,23,2,1
1,12,4,2366,2,3,3,3,36,3,0
0,21,2,1835,0,2,3,2,25,2,1
3,24,4,3868,0,4,4,2,41,3,0
3,12,2,1768,0,2,3,2,24,1,0
2,10,4,781,0,4,4,4,63,2,0
1,18,2,1924,4,1,4,3,27,2,1
0,12,4,2121,0,2,4,2,30,2,0
0,12,2,701,0,2,4,2,40,1,0
1,12,2,639,0,2,4,2,30,2,1
1,12,4,1860,0,0,4,2,34,3,0
0,12,4,3499,0,2,3,2,29,2,1
1,48,2,8487,4,3,1,2,24,2,0
0,36,3,6887,0,2,4,3,29,2,1
3,15,2,2708,0,1,2,3,27,1,0
3,18,2,1984,0,2,4,4,47,2,0
3,60,2,10144,1,3,2,4,21,2,0
3,12,4,1240,4,4,4,2,38,2,0
3,27,3,8613,3,2,2,2,27,2,0
1,12,2,766,2,2,4,3,66,1,1
1,15,4,2728,4,3,4,2,35,2,0
2,12,2,1881,0,2,2,2,44,1,0
2,6,2,709,3,1,2,2,27,0,0
1,36,2,4795,0,1,4,1,30,3,0
0,27,2,3416,0,2,3,2,27,3,0
0,18,2,2462,0,2,2,2,22,2,1
3,21,4,2288,0,1,4,4,23,2,0
1,48,1,3566,1,3,4,2,30,2,0
0,6,4,860,0,4,1,4,39,2,0
3,12,4,682,1,3,4,3,51,2,0
0,36,4,5371,0,2,3,2,28,2,0
3,18,4,1582,3,4,4,4,46,2,0
3,6,2,1346,1,4,2,4,42,2,0
3,10,2,1924,0,2,1,4,38,2,0
2,36,2,5848,0,2,4,1,24,2,0
1,24,4,7758,3,4,2,4,29,2,0
1,24,3,6967,1,3,4,4,36,3,0
0,12,2,1282,0,2,2,4,20,2,1
0,9,4,1288,1,4,3,4,48,2,0
0,12,1,339,0,4,4,1,45,1,0
1,24,2,3512,1,3,2,3,38,2,0
3,6,4,1898,4,2,1,2,34,1,0
3,24,4,2872,1,4,3,4,36,2,0
3,18,4,1055,0,1,4,1,30,2,0
3,15,2,1262,2,3,4,3,36,2,0
